,nombre_científico,nombre_común,autoridad,categoría_de_amenaza,origen
0,ama dama,Gamo ,,,
1,Ammotragus lervia,Arrui ,,,
2,Apodemus flavicollis,Ratón leonado ,"(Melchior, 1834)",LC,Nativa
3,Apodemus sylvaticus,Ratón de campo ,"(Linnaeus, 1758)",LC,Nativa
4,apra pyrenaica,Cabra montés ,,,
5,Arvicola sapidus,Rata de agua ,"Miller, 1908",VU,Nativa
6,Atelerix algirus,Erizo moruno ,"(Lereboullet, 1842)",LC,Nativa
7,Atlantoxerus getulus,Ardilla moruna ,,,
8,Balaenoptera acutorostrata,Rorcual aliblanco ,"Lacépède, 1804",LC,Nativa
9,Balaenoptera borealis,Rorcual boreal ,"Lesson, 1828",EN,Errante
10,Balaenoptera edeni,Rorcual tropical ,,,
11,Balaenoptera musculus,Rorcual azul ,"(Linnaeus, 1758)",EN,Nativa
12,Balaenoptera physalus,Rorcual común ,"(Linnaeus, 1758)",NT,Nativa
13,Barbastella barbastellus,Murciélago de bosque ,"(Schreber, 1774)",VU,Nativa
14,Canis lupus,Lobo ,"Linnaeus, 1758",LC,Nativa
15,Capreolus capreolus,Corzo ,"(Linnaeus, 1758)",LC,Nativa
16,Cervus elaphus,Ciervo ,,,
17,Chionomys nivalis,Topillo nival ,"(Martins, 1842)",LC,Nativa
18,Crocidura gueldenstaedtii,Musaraña de campo ,,,
19,Delphinus delphis,Delfín común ,"Linnaeus, 1758",DD,Nativa
20,Eliomys quercinus,Lirón careto ,"(Linnaeus, 1766)",NT,Nativa
21,Eptesicus isabellinus ,Murciélago hortelano meridional ,,,
22,Eptesicus serotinus,Murciélago hortelano ,"Schreber, 1774",LC,Nativa
23,Erinaceus europaeus,Erizo común ,"Linnaeus, 1758",LC,Nativa
24,Eubalaena glacialis,Ballena de los vascos ,"(Müller, 1776)",RE,Nativo
25,Felis silvestris,Gato montés ,"Schreber, 1777",LC,Nativa
26,Galemys pyrenaicus,Desmán ibérico ,"(E. Geoffroy St. Hilaire, 1811)",VU,Nativa
27,Genetta genetta,Jineta ,,,
28,Glis glis,Lirón gris ,"(Linnaeus, 1766)",LC,Nativa
29,Globicephala macrorhynchus,Calderón tropical ,,,
30,Globicephala melas,Calderón de aleta larga ,"(Traill, 1809)",DD,Nativa
31,Grampus griseus,Calderón gris ,"(G. Cuvier, 1812)",DD,Nativa
32,Herpestes ichneumon,Meloncillo ,"(Linnaeus, 1758)",LC,Introducida
33,Hyperoodon ampullatus,Calderón boreal ,"(Forster, 1770)",DD,Nativa
34,Hypsugo savii,Murciélago montañero ,"Bonaparte, 1837",LC,Nativa
35,Kogia breviceps,Cachalote pigmeo ,,,
36,Kogia simus,Cachalote enano ,,,
37,Lagenodelphis hosei,Delfín chato ,,,
38,Lagenorhynchus acutus,Delfín atlántico de flancos blancos ,"(Gray, 1828)",LC,Nativa
39,Lagenorhynchus albirostris,Delfín de hocico blanco ,"(Gray, 1846)",LC,Errante
40,Lepus castroviejoi,Liebre de piornal ,"Palacios, 1977",VU,Nativa
41,Lepus europaeus,Liebre europea ,"Pallas, 1778",LC,Nativa
42,Lepus granatensis,Liebre ibérica ,"Rosenhauer, 1856",LC,Nativa
43,Lutra lutra,Nutria ,"(Linnaeus, 1758)",NT,Nativa
44,Lynx pardinus,Lince ibérico ,"(Temminck, 1827)",EN,Nativa
45,Marmota marmota,Marmota alpina ,"(Linnaeus, 1758)",LC,Introducida
46,Martes foina,Garduña ,"(Erxleben, 1777)",LC,Nativa
47,Martes martes,Marta ,"(Linnaeus, 1758)",LC,Nativa
48,Megaptera novaeangliae,Yubarta ,"(Borowski, 1781)",LC,Nativa
49,Meles meles,Tejón ,"(Linnaeus, 1758)",LC,Nativa
50,Mesoplodon bidens,Ballenato hocicudo de Sowerby ,"(Sowerby, 1804)",DD,Nativa
51,Mesoplodon densirostris,Ballenato hocicudo de Blainville ,"(Blainville, 1817)",DD,Nativa
52,Mesoplodon europaeus,Ballenato hocicudo de Gervais ,"(Gervais, 1855)",DD,Nativa
53,Mesoplodon grayi,Ballenato hocicudo de Gray ,,,
54,Mesoplodon mirus,Ballenato hocicudo de True ,"True, 1913",DD,Nativa
55,Micromys minutus,Ratón espiguero ,"(Pallas, 1771)",LC,Nativa
56,Microtus agrestis,Topillo agreste ,"(Linnaeus, 1761)",LC,Nativa
57,Microtus arvalis ,Topillo campesino ,,,
58,Microtus cabrerae,Topillo de Cabrera,"Thomas, 1906",NT,Nativa
59,Microtus duodecimcostatus,Topillo mediterráneo ,"(de Selys-Longchamps, 1839)",LC,Nativa
60,Microtus gerbei,Topillo pirenaico ,"(Gerbe, 1879)",LC,Nativa
61,Microtus lusitanicus,Topillo lusitano ,"(Gerbe, 1879)",LC,Nativa
62,Miniopterus schreibersii,Murciélago de cueva ,"(Kuhl, 1817)",NT,Nativa
63,Monachus monachus,Foca monje ,"(Hermann, 1779)",RE,Nativo
64,Mus musculus,Ratón casero ,"Linnaeus, 1758",LC,Nativa
65,Mus spretus,Ratón moruno ,"Lataste, 1883",LC,Nativa
66,Mustela erminea,Armiño ,"Linnaeus, 1758",LC,Nativa
67,Mustela lutreola,Visón europeo ,"(Linnaeus, 1761)",CR,Nativa
68,Mustela nivalis,Comadreja ,"Linnaeus, 1766",LC,Nativa
69,Mustela putorius,Turón ,"Linnaeus, 1758",LC,Nativa
70,Myocastor coipus,Coipú ,,,
71,Myodes glareolus,Topillo rojo ,"(Schreber, 1780)",LC,Nativa
72,Myotis alcathoe,Murciélago ratonero bigotudo pequeño ,"von Helversen &amp; Heller, 2001",DD,Nativa
73,Myotis bechsteinii,Murciélago ratonero forestal ,"(Kuhl, 1817)",VU,Nativa
74,Myotis blythii,Murciélago ratonero mediano ,"(Tomes, 1857)",NT,Nativa
75,Myotis capaccinii,Murciélago ratonero patudo ,"(Bonaparte, 1837)",VU,Nativa
76,Myotis crypticus,Murciélago ratonero críptico ,,,
77,Myotis daubentoni,Murciélago ratonero ribereño ,,,
78,Myotis emarginatus,Murciélago ratonero pardo ,"(É. Geoffroy, 1806)",LC,Nativa
79,Myotis escalerai,Murciélago ratonero ibérico ,,,
80,Myotis myotis,Murciélago ratonero grande ,"(Borkhausen, 1797)",LC,Nativa
81,Myotis mystacinus,Murciélago ratonero bigotudo ,"(Kuhl, 1817)",LC,Nativa
82,Neomys anomalus,Musgaño de Cabrera ,"Cabrera, 1907",LC,Nativa
83,Neomys fodiens,Musgaño patiblanco ,"(Pennant, 1771)",LC,Nativa
84,Neovison vison,Visón americano ,,,
